name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;598;0;668;3085;945;3085;1014;0
header;141;97;141;139;1927;139;1927;97
A;941;158;941;186;962;186;962;158
B;756;257;756;276;769;276;769;257
A;915;264;915;269;921;269;921;264
B;930;811;930;840;954;840;954;811
A;935;882;935;884;937;884;937;882
A;662;1164;662;1164;662;1164;662;1164
B;711;1173;711;1191;725;1191;725;1173
A;636;1207;636;1207;636;1207;636;1207
C;927;1477;927;1508;949;1508;949;1477
A;664;1600;664;1611;671;1611;671;1600
A;757;2095;757;2110;765;2110;765;2095
D;926;2140;926;2167;947;2167;947;2140
B;876;2178;876;2204;910;2204;910;2178
D;648;2231;648;2247;656;2247;656;2231
A;944;2732;944;2734;947;2734;947;2732
C;917;2801;917;2827;940;2827;940;2801
