name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;896;0;943;3093;1650;3093;1394;0
header;137;100;137;133;1766;133;1766;100
A;932;159;932;188;953;188;953;159
B;910;573;910;591;924;591;924;573
B;943;826;943;853;963;853;963;826
A;1126;1204;1126;1206;1127;1206;1127;1204
A;1313;1445;1313;1452;1320;1452;1320;1445
C;950;1498;950;1525;970;1525;970;1498
A;1243;1672;1243;1679;1249;1679;1249;1672
B;1115;1757;1115;1783;1129;1783;1129;1757
D;954;2166;954;2193;975;2193;975;2166
B;1571;2308;1571;2333;1585;2333;1585;2308
A;1053;2595;1053;2601;1058;2601;1058;2595
A;1104;2679;1104;2704;1119;2704;1119;2679
